Designator,Mid X,Mid Y,Rotation,Layer
D1,149.60625,-51.4975,90.0,top
D10,73.40625,-69.11875,90.0,top
D11,149.60625,-90.55,90.0,top
D12,130.55625,-85.7875,90.0,top
D13,111.50625,-83.40625,90.0,top
D14,92.45625,-85.7875,90.0,top
D15,73.40625,-88.16875,90.0,top
D16,101.98125,-109.6,90.0,top
D17,80.55000044308899,-113.17187446102349,100.0,top
D18,60.309375253929204,-120.31562411480569,110.0,top
D2,130.55625,-48.267273,90.0,top
D3,111.50625,-46.735,90.0,top
D4,92.45625,-47.6875,90.0,top
D5,73.40625,-50.06875,90.0,top
D6,149.60625,-71.5,90.0,top
D7,130.55625,-66.975625,90.0,top
D8,111.50625,-64.35625,90.0,top
D9,92.45625,-66.975625,90.0,top
J1,67.65625,-67.0075,0.0,top
SW1,158.23125,-54.625,0.0,top
SW10,82.03125,-71.29375,0.0,top
SW11,158.23125,-92.725,0.0,top
SW12,139.18125,-87.9625,0.0,top
SW13,120.13125,-85.58125,0.0,top
SW14,101.08125,-87.9625,0.0,top
SW15,82.03125,-90.34375,0.0,top
SW16,110.60625,-111.775,0.0,top
SW17,89.56635879352234,-114.2794900490536,10.0,top
SW18,69.73254357364077,-120.28602526324273,20.0,top
SW19,56.035625,-65.249375,180.0,top
SW2,139.18125,-49.8625,0.0,top
SW3,120.13125,-47.48125,0.0,top
SW4,101.08125,-49.8625,0.0,top
SW5,82.03125,-52.24375,0.0,top
SW6,158.23125,-73.675,0.0,top
SW7,139.18125,-68.9125,0.0,top
SW8,120.13125,-66.53125,0.0,top
SW9,101.08125,-68.9125,0.0,top
U2,59.11875,-51.259375,0.0,top
